Type,Name,Description,Value
Managed - Installed,Button_Label_Add_Account,Add Account button in visualization component,+ Add Account
Managed - Installed,Button_Label_Add_Contact,Add Contact button in visualization component,+ Add Contact
Managed - Installed,Button_Label_Add_Group,New Group button in visualization component,+ Add Group
Managed - Installed,Button_Label_Add_Member,Add Member button in visualization component,+ Add Member
Managed - Installed,Button_Label_Add_Relationship,Add Relationship button in visualization component,+ Add Relationship
Managed - Installed,Button_Label_Back,Back button,Back
Managed - Installed,Button_Label_Cancel,Cancel button,Cancel
Managed - Installed,Button_Label_Delete,Used for delete option in modal.,Delete
Managed - Installed,Button_Label_Disabled,Disabled button,Disabled
Managed - Installed,Button_Label_Edit,Edit Button,Edit
Managed - Installed,Button_Label_Enabled,Enabled button,Enabled
Managed - Installed,Button_Label_Hide_Group_Members,Collapse component to hide group members,Hide group members
Managed - Installed,Button_Label_More_Info,Used for tooltip button.,More Information
Managed - Installed,Button_Label_New,New button,New
Managed - Installed,Button_Label_New_Row,Used for new row.,Add Row
Managed - Installed,Button_Label_Next,Next button,Next
Managed - Installed,Button_Label_Remove,Used for remove option in modal.,Remove
Managed - Installed,Button_Label_Save,Save button,Save
Managed - Installed,Button_Label_SaveAndNew,Save & New button,Save & New
Managed - Installed,Button_Label_SaveAndNext,Save & Next button,Save & Next
Managed - Installed,Button_Label_ShowHide_Group_Members,Assistive text for toggling visibility of group members,Show/Hide Group Members
Managed - Installed,Button_Label_Show_Group_Members,Expand component to display group members,Show group members
Managed - Installed,Detail_Dialog_Household_Member_Remove,Remove membership dialog text on Relationships tab of profiles,"When you remove a member, you remove the member's related accounts from this relationship group."
Managed - Installed,Detail_Dialog_Household_Relationship_Delete,Delete relationship dialog text on Relationships tab of profiles,"When you delete a relationship, you delete the member's relationship to this group from Salesforce."
Managed - Installed,Entity_Clients_Lowercase,"Lowercase, plural ""clients""",clients
Managed - Installed,Entity_Clients_Uppercase,"Uppercase, plural ""Clients""",Clients
Managed - Installed,Entity_Client_Lowercase,"Lowercase, singular ""client""",client
Managed - Installed,Entity_Client_Uppercase,"Uppercase, singular ""Client""",Client
Managed - Installed,Entity_Households_Lowercase,"Lowercase, plural ""households""",households
Managed - Installed,Entity_Households_Uppercase,"Uppercase, plural ""Households""",Households
Managed - Installed,Entity_Household_Lowercase,"Lowercase, singular ""household""",household
Managed - Installed,Entity_Household_Uppercase,"Uppercase, singular ""Household""",Household
Managed - Installed,Header_Component_Assigned_Referrals,List of referrals (by name) assigned to a user,Referrals Assigned to Me ({0})
Managed - Installed,Header_Component_Cases,Cases component header on Home page,Cases
Managed - Installed,Header_Component_Create_Individual,Individual Client component header,Create Individual
Managed - Installed,Header_Component_Leads,Leads component header on Home page,Leads ({0})
Managed - Installed,Header_Component_Opportunities,Opportunities component header on Home page,Opportunities ({0})
Managed - Installed,Header_Component_Tasks,Tasks component header on Home page,Tasks ({0})
Managed - Installed,Header_Dialog_Client_Create,Header for new client dialog box,Create Client
Managed - Installed,Header_Dialog_Create,"Prefix for headers in new record dialog boxes, such as Create client",Create
Managed - Installed,Header_Dialog_Edit,"  Prefix for headers in edit record dialog boxes, such as Edit client",Edit
Managed - Installed,Header_Dialog_Household_Member_Create,New member dialog box on Relationships tab of client and household profiles,Create Household Member
Managed - Installed,Header_Dialog_Household_Member_ ,Edit membership dialog box on Relationships tab of client and household profiles,Edit Household Membership
Managed - Installed,Header_Dialog_Household_Member_Remove,Remove membership dialog header on Relationships tab of profiles,Remove member from group?
Managed - Installed,Header_Dialog_Household_Relationship_Delete,Delete relationship dialog header on Relationships tab of profiles,Delete relationship?
Managed - Installed,Header_Page_Client,Page header on client profile,Client
Managed - Installed,Header_Page_Household,Page header on household profile,Household
Managed - Installed,Header_Page_Households,Page header on Households list,Households
Managed - Installed,Header_Panel_Financial_Summary,Summary panel header on Financials tab of client and household profiles,Financial Summary
Managed - Installed,Header_Panel_Goals_Summary,Summary panel header on Goals tab of client and household profiles,Goals Summary
Managed - Installed,Header_Panel_Group_Create,Header for Create Relationship Group panel.,Create Relationship Group: {0}
Managed - Installed,Header_Panel_Group_ ,Header for Edit Relationship Group panel.,Edit {0}
Managed - Installed,Header_Panel_Group_New,Header for new relationship group panel.,New Relationship Group
Managed - Installed,Header_Panel_Household_Summary,Summary panel header on Relationships tab of client and household profiles,Household Summary
Managed - Installed,Header_Panel_Individual_Create,Header for Create Individual panel.,New Account: {0}
Managed - Installed,Header_Panel_Individual_New,Header for new individual panel.,New Individual
Managed - Installed,Header_Section_Assets_Liabilities,Assets and Liabilities header on Financials tab of client and household profiles,Assets and Liabilities
Managed - Installed,Header_Section_Bank_Accounts,Bank Accounts header on Financials tab of client and household profiles,Bank Accounts
Managed - Installed,Header_Section_Financial_Account_Roles,Financial Account Roles header on Financials tab of client profile,Financial Account Roles
Managed - Installed,Header_Section_Group_Name,Group name section header on the visualization component,{0} ({1})
Managed - Installed,Header_Section_Household_Members,Household Members header on Relationships tab of client and household profiles,Group Members
Managed - Installed,Header_Section_Insurance_Policies,Insurance Policies header on Financials tab of client and household profiles,Insurance Policies
Managed - Installed,Header_Section_Investment_Accounts,Investment Accounts on Financials tab of client and household profiles,Investment Accounts
Managed - Installed,Header_Section_Primary_Group,Primary Group header on Relationships tab of client and household profiles,Primary Group
Managed - Installed,Header_Section_Related_Accounts,Related Accounts section header on Relationships tab of household profiles,Related Accounts
Managed - Installed,Header_Section_Related_Contacts,Related Contacts header on Relationships tab of client and household profiles,Related Contacts
